Week,raw1,raw2,raw3,3pcLS1,3pcLS2,3pcLS3,.75R1,.75R2,.75R3,1.1R1,1.1R2,1.1R3
0,8.342,29.750,51.678,0.218,0.370,0.077,0.118,0.155,0.076,0.045,0.050,0.052
1,0.104,0.094,0.107,0.105,0.107,0.106,0.096,0.095,0.109,0.149,0.096,0.086
2,0.086,0.096,0.086,0.086,0.094,0.096,0.086,0.095,0.103,0.087,0.085,0.085
3,0.047,0.029,0.056,0.019,0.029,0.038,0.029,0.010,0.029,0.028,0.019,0.056
4,0.266,0.152,0.352,0.162,0.182,0.182,0.151,0.143,0.143,0.150,0.157,0.149
5,0.168,0.019,0.409,0.010,0.010,0.037,0.010,0.010,0.010,0.037,0.056,0.376
6,0.494,0.219,0.282,0.019,0.029,0.029,0.029,0.201,0.019,0.039,0.019,0.037
7,2.413,1.335,3.431,0.064,0.067,0.110,0.074,0.094,0.076,0.029,0.048,0.038
8,4.237,4.077,18.500,0.057,0.094,0.058,0.055,0.056,0.054,0.113,0.053,0.056
9,7.929,9.137,31.229,0.158,0.171,0.182,0.194,0.198,0.144,0.176,0.200,0.202
10,51.110,52.734,130.410,0.095,0.087,0.087,0.075,0.076,0.068,0.061,0.066,0.077
11,103.040,89.388,248.970,0.010,0.010,0.019,0.010,0.010,0.010,0.010,0.010,0.010
12,216.600,150.660,540.500,0.105,0.095,0.095,0.091,0.076,0.075,0.065,0.056,0.057
13,287.850,238.760,589.380,0.095,0.057,0.028,0.140,0.047,0.019,0.037,0.029,0.010
14,439.850,285.120,676.800,0.017,0.037,0.058,0.010,0.010,0.010,0.010,0.019,0.019
15,490.680,472.880,869.260,0.040,0.029,0.105,0.010,0.010,0.010,0.018,0.010,0.010
16,464.550,341.890,688.320,0.038,0.097,0.068,0.010,0.010,0.010,0.010,0.010,0.010
17,596.550,373.440,586.950,0.019,0.048,0.088,0.010,0.010,0.010,0.010,0.010,0.010
18,615.670,504.000,730.275,0.029,0.096,0.097,0.010,0.010,0.010,0.038,0.010,0.010
19,590.625,540.540,830.300,0.058,0.179,0.153,0.019,0.010,0.010,0.010,0.010,0.038
20,730.050,710.640,779.000,0.067,0.143,0.258,0.010,0.019,0.010,0.019,0.010,0.019
21,790.965,835.050,934.800,0.047,0.461,0.186,0.010,0.010,0.010,0.010,0.010,0.010
22,1115.100,885.480,1064.000,0.085,0.307,0.618,0.018,0.010,0.010,0.010,0.010,0.019
23,943.500,920.000,802.230,0.028,0.677,0.627,0.010,0.010,0.121,0.010,0.010,0.019
24,821.560,893.860,851.520,0.038,1.382,0.134,0.930,0.065,0.056,0.019,0.010,0.019
25,852.580,852.390,809.710,0.038,1.796,1.052,0.010,0.010,0.010,0.010,0.010,0.010
